city;admin_name;name;ID
Aglie';Piemonte;Al Castello;2909468475
Aglie';Piemonte;Bar Nazionale;2909468491
Aglie';Piemonte;Hollywood Cafè;2909469525
Airasca;Piemonte;Bar Marghera;2800540499
Alice Superiore;Piemonte;Bar del Campo;2931926850
Alice Superiore;Piemonte;Bar Lo Scoiattolo;2931926847
Alice Superiore;Piemonte;Bar Ristoro Il Pontile;2931926849
Alpignano;Piemonte;Canton DiVino;3040790945
Alpignano;Piemonte;Ferehneit 451;3123653205
Alpignano;Piemonte;Lattolandia;3039643793
Alpignano;Piemonte;Roxy Bar;3135060091
Avigliana;Piemonte;Caffetteria del Vecchio Borgo;3389996903
Avigliana;Piemonte;Giada;3371509973
Avigliana;Piemonte;La Maison Du Chocolat;3728056058
Avigliana;Piemonte;La Martinika;3371509981
Bairo;Piemonte;HospesCafè;2947383542
Balme;Piemonte;Bar Centrale;1895115387
Bardonecchia;Piemonte;Al Crotin;3700735140
Bardonecchia;Piemonte;Caffè Torino;3700735130
Beinasco;Piemonte;Borgaretto;461657374
Beinasco;Piemonte;caffè dei portici;3088993871
Beinasco;Piemonte;Caffè Pasticceria Clemy;1190855673
Beinasco;Piemonte;Ke'Bar;1426858004
Beinasco;Piemonte;La Felce;3088995633
Bobbio Pellice;Piemonte;Bar della Fontana;2409719633
Borgiallo;Piemonte;La piola;3791341969
Borgone Susa;Piemonte;Bar Gelateria Penna;3364499800
Borgone Susa;Piemonte;Bar Italia;3648728580
Borgone Susa;Piemonte;Bar Roxy;3376599194
Borgone Susa;Piemonte;Lumière Cafè;3376595695
Bosconero;Piemonte;Bar Della Mora;2035094763
Bricherasio;Piemonte;0115 Zerounounocinque Ristobar;2116417811
Bricherasio;Piemonte;Angelo Blu;2055729976
Bricherasio;Piemonte;Antico Portico;2593101716
Bricherasio;Piemonte;Breakafe Ristobar;3989595098
Bricherasio;Piemonte;Caffè del Centro;3258312323
Bricherasio;Piemonte;Caffè del Ponte;2178286295
Bricherasio;Piemonte;Floridee;2425957439
Bricherasio;Piemonte;Nuovo Bar Europa;2029047935
Burolo;Piemonte;Barcollo;2368263968
Buttigliera Alta;Piemonte;Crystal;3891530750
Buttigliera Alta;Piemonte;Rosa dei Venti;2506818339
Caravino;Piemonte;Ristoro del castello;295022833
Carema;Piemonte;Caffé Gelato Con Cucina Fantasy;1632822362
Carema;Piemonte;Oasi;2025503392
Carignano;Piemonte;Baraonda Cafè;3995276957
Carignano;Piemonte;Bar della Piazzetta;3995214211
Carignano;Piemonte;Bar delle Chiacchere;3995276960
Carignano;Piemonte;Bar I Portic;3995276958
Carignano;Piemonte;Bar Sport;3995276961
Carignano;Piemonte;Brussino;3996476428
Carignano;Piemonte;Piccolo Bar;3995403917
Carmagnola;Piemonte;Bar Italia;3884860327
Castellamonte;Piemonte;La Cambusa;1201924334
Cercenasco;Piemonte;Bar Gelateria dell'Angolo;3457700263
Ceres;Piemonte;Bar Europa;1756200712
Ceres;Piemonte;Caffé Stazione - Tabacchi;1760617379
Ceres;Piemonte;Chry's Bar;1756205821
Ceres;Piemonte;La Piòla d'In Bòt;1760817265
Cesana Torinese;Piemonte;Bar Canalino;627039524
Chialamberto;Piemonte;BAR ALPINO;3773273557
Chialamberto;Piemonte;Bar dei Campi;3773195094
Chialamberto;Piemonte;BAR PATTINAGGIO;3773288047
Chieri;Piemonte;Da Piera;2752436225
Chiomonte;Piemonte;Paprika;1810453828
Chiusa Di San Michele;Piemonte;Angel;3371509988
Chiusa Di San Michele;Piemonte;Buondì;3770227818
Chiusa Di San Michele;Piemonte;L'Abituè;3784307825
Chivasso;Piemonte;Buffet Stazione;3419948096
Cirie';Piemonte;Caffetteria American Bar First Place;1775839890
Cirie';Piemonte;Remmert Café;1580295496
Coazze;Piemonte;Bar Caffe;1503438340
Coazze;Piemonte;Bar Caffè;1734994436
Coazze;Piemonte;Bar da Gas;2297874131
Coazze;Piemonte;Cremeria Gramsci;4004982349
Coazze;Piemonte;La Piazzetta;2297883110
Coazze;Piemonte;V Club;4004982346
Collegno;Piemonte;Bar dell'amicizia;2028058188
Collegno;Piemonte;Bar Pa.Fi.;2214904126
Collegno;Piemonte;Cafè Loco;3175245868
Collegno;Piemonte;IL Capolinea;3289716437
Collegno;Piemonte;Notevolmente;2268484338
Collegno;Piemonte;Top Art;3175238751
Condove;Piemonte;Tromp Cafè;1110135094
Corio;Piemonte;Bar;2527949817
Corio;Piemonte;Ferroglio;2527949791
Favria;Piemonte;Bar La rosa bianca;2143130534
Feletto;Piemonte;Cadillac;2035524953
Feletto;Piemonte;Cin Cin;2035524978
Foglizzo;Piemonte;Bar Torino;1672314775
Foglizzo;Piemonte;Piccolo Bar;2704080514
Frossasco;Piemonte;Ristorante Bar Bellini;2338660541
Frossasco;Piemonte;Zero 121 Caffè Ristoro;2219423318
Giaglione;Piemonte;Bar dou Clòo;1913361931
Grugliasco;Piemonte;Bar Futurama;2217301834
Grugliasco;Piemonte;Foodball;990230990
Ivrea;Piemonte;Bar Caffetteria Il Cerchio;2660064534
Ivrea;Piemonte;Bar il Macinino;2660064536
Ivrea;Piemonte;Bar Il Puffo;2662079314
Ivrea;Piemonte;Bar Italia;2652491144
Ivrea;Piemonte;Bar Italo;2635310998
Ivrea;Piemonte;Bar Luna;2630658512
Ivrea;Piemonte;Bar Piemonte;2660064535
Ivrea;Piemonte;Barra di Ferro;1892958130
Ivrea;Piemonte;Bar Roma;2652491156
Ivrea;Piemonte;Bar Stella;2586432854
Ivrea;Piemonte;Bar Tamborini;2652491162
Ivrea;Piemonte;Bar Torino;1877288991
Ivrea;Piemonte;Belushi;1892958134
Ivrea;Piemonte;Café San Domenico;2642222061
Ivrea;Piemonte;Caffé Cavour;2642222060
Ivrea;Piemonte;Caffé Eporedia;1892958949
