city;admin_name;name;ID
Bardonecchia;Piemonte;Sabrina;3700735141
Ivrea;Piemonte;ABCinema d'Essai;773637449
Ivrea;Piemonte;Cinema Boaro;1876474160
Moncalieri;Piemonte;UCG Cinema;262100274
Pinerolo;Piemonte;Cinema Hollywood;3352525199
Pinerolo;Piemonte;Cinema Italia;2425831724
Rivoli;Piemonte;Cinema Teatro Borgonuovo;1855973149
Sestriere;Piemonte;Cinema Fraiteve;3721581842
Torino;Piemonte;Cinecafé Ambrosio;3274388861
Torino;Piemonte;Cinema Eliseo;2113383951
Torino;Piemonte;Cinema Lux;1350142517
Torino;Piemonte;Cinema Romano;1370040605
Torino;Piemonte;Cineplex Massaua;2049845183
Torino;Piemonte;Classico;3284942161
Torino;Piemonte;Due Giardini;735032355
Torino;Piemonte;Greenwich Village;248787330
Torino;Piemonte;Maffei;1467593787
Torino;Piemonte;Metropol;1467593792
Torino;Piemonte;Nazionale;2791170550
Torino;Piemonte;The Space Cinema;2688303785
Torino;Piemonte;UCI Cinemas Lingotto;1172116311
Varallo;Piemonte;Cinema Oratorio Sottoriva;2627228401
Vercelli;Piemonte;Cinema Italia;499620955
Bellinzago Novarese;Piemonte;Movie Planet;2145291059
Novara;Piemonte;VIP;2036115172
Alba;Piemonte;Cine4;1749822805
Borgo San Dalmazzo;Piemonte;Cinelandia;1967623229
Centallo;Piemonte;Lux;1730573268
Cuneo;Piemonte;Lanteri;1970779012
Asti;Piemonte;Nuovo Splendor;1470052046
Alessandria;Piemonte;Cinema Teatro Alessandrino;1891230225
Alessandria;Piemonte;Cinema Teatro Macallè;3626519732
Alessandria;Piemonte;Multisala Kristalli;3640431757
Alessandria;Piemonte;UCI Cinemas;3604599298
Ovada;Piemonte;Cinema Teatro Comunale;1631132523
Tortona;Piemonte;Megaplex Stardust;1749595238
Valenza;Piemonte;Cineteatro Sociale;1639017564
Aosta;Valle d'Aosta;Cinéma Théatre de la Ville;1270415684
Ayas;Valle d'Aosta;Cinema Sant'Anna;372793690
Cogne;Valle d'Aosta;Gran Paradiso;1842637099
Saint-Christophe;Valle d'Aosta;Cinelandia;1984398245
Saint-Vincent;Valle d'Aosta;Cinema Auditorium IPR;2387376837
Verres;Valle d'Aosta;Cinema Ideal;1729271446
Imperia;Liguria;Cinema Centrale;1321427854
Imperia;Liguria;Cinema Imperia;472445152
San Bartolomeo Al Mare;Liguria;Smeraldo;3725430216
San Remo;Liguria;Cinema Ariston;503198215
Borgio Verezzi;Liguria;Cinema Teatro Gassmann;1417138880
Finale Ligure;Liguria;Cinema all'aperto;1712120655
Savona;Liguria;Multisala Diana;601477594
Savona;Liguria;Nuovo Filmstudio;602511004
Chiavari;Liguria;Cinema Mignon;3610446816
Genova;Liguria;America;253268182
Genova;Liguria;Ariston;253266745
Genova;Liguria;Chiabrera;3120670438
Genova;Liguria;Cinema Cappuccini;750786139
Genova;Liguria;Cinema Centrale;897271247
Genova;Liguria;Cinema Corallo;2178108475
Genova;Liguria;Cinema Eden;331552714
Genova;Liguria;Cinema Eldorado;966304779
Genova;Liguria;Cinema teatro Verdi;302324772
Genova;Liguria;City;253486824
Genova;Liguria;Nickelodeon;413995838
Genova;Liguria;Nuovo Cinema Palmaro;442709467
Genova;Liguria;Odeon;253266819
Genova;Liguria;Olimpia;253486101
Genova;Liguria;San Giovanni Battista;303163729
Genova;Liguria;Sìvori;413995262
Genova;Liguria;The Space Cinema;252806062
Genova;Liguria;UCI Cinemas Fiumara;253267452
Ronco Scrivia;Liguria;Columbia;3468419999
Rossiglione;Liguria;Cinema Comunale;686595637
La Spezia;Liguria;Controluce;2027126976
Bisuschio;Lombardia;Cinema S. Giorgio;1576834890
Gavirate;Lombardia;Eden;3844356305
Gavirate;Lombardia;Garden;3846864772
Germignaga;Lombardia;Cinema Teatro Italia;3205978480
Grantola;Lombardia;Mignon;3870607268
Olgiate Olona;Lombardia;Cinema Nuovo;1282636374
Origgio;Lombardia;CineTeatro San Giuseppe;659798280
Saronno;Lombardia;Multisala Saronnese;1907266823
Somma Lombardo;Lombardia;Cinema Odeon;2333695682
Tradate;Lombardia;Starplex;1865594176
Travedona-Monate;Lombardia;Santamanzio;2692927046
Varese;Lombardia;Cinema Teatro Nuovo;1343526652
Morbegno;Lombardia;Cinema Iris;2833186449
Morbegno;Lombardia;Cinema Pedretti;2833186450
Morbegno;Lombardia;Cinema Tre;2833186451
Sondrio;Lombardia;excelsior;2575898174
Abbiategrasso;Lombardia;cinema al corso;450562080
Arese;Lombardia;Cinema Teatro Arese;1999713424
Arluno;Lombardia;Cinema Oratorio;609695758
Bellinzago Lombardo;Lombardia;Arcadia;906715849
Bollate;Lombardia;Splendor;912755868
Bollate;Lombardia;Splendor;912755868
