Country;NID card
Afghanistan;Tazkira / eNID
Albania;Letërnjoftimi / Albanian Identity Card
Algeria;Carte Nationale d'Identité Biométrique Electronique (National eID Card, CNIBE)
Andorra;-
Angola;Bilhete de Identidade (National ID card)
Antigua and Barbuda;-
Argentina;DNI (Documento Nacional de Identidad) / SIBIOS (Sistema Federal de Identificación Biométrica para la Seguridad)
Armenia;National ID Card / National Passport
Australia;-
Austria;Identitätsausweis / Personalausweis (Austrian Citizen Card)
Azerbaijan;Azərbaycan Respublikası vətəndaşının şəxsiyyət vəsiqəsi (National ID Card)
Bahamas, The;Certificate of Identity
Bahrain;National ID Smartcard
Bangladesh;National ID Card
Barbados;National ID Card
Belarus;National Passport
Belgium;BelPIC / Identiteitskaart / Carte d’Identité / Personalausweis (Identity Card)
Belize;-
Benin;National ID Card
Bhutan;Citizenship Identity Card
Bolivia;Cédula de Identidad
Bosnia and Herzegovina;Lična Karta (Identity Card)
Botswana;Omang (National ID Card)
Brazil;Registro de Identidade Civil – RIC
Brunei Darussalam;Yellow identity card for citizens, purple for permanent residents, Smart Identity Card (SIC)
Bulgaria;Лична карта (Identity Card)
Burkina Faso;Carte Nationale d'Identité (National ID Card)
Burundi;Carte Nationale d'Identité (CNI)
Cabo Verde;Cartão Nacional de Identidade (CNI)
Cambodia;Khmer ID Card
Cameroon;Carte Nationale d'Identité (National ID Card)
Canada;-
Central African Republic;Carte Nationale d'Identité (National ID Card)
Chad;Carte Nationale d'Identité (National ID Card)
Chile;RUN (Rol Único de Identidad) / Cédula de Identidad
China;PRC (Resident Identity Card)
Colombia;NUIP (Número Único de Identidad Personal) / Cédula de Identidad
Comoros;National ID Card
Congo, Dem. Rep.;Alternative: Elector's Card (CENI)
Congo, Rep.;National identity card
Costa Rica;Cédula de Identidad
Côte d'Ivoire;Carte Nationale d'Identité (National ID Card)
Croatia;Osobna Iskaznica (Identity card)
Cuba;Carnet de Identidad (ID Card)
Cyprus;ID Card
Czech Republic;Občanský Průkaz (Civil Card)
Denmark;NemID
Djibouti;Carte d’identification nationale numérique
Dominica;Multi-Purpose Identification Card (MPID)
Dominican Republic;Identity and Voting Document / Cédula de Identidad y Electoral
Ecuador;Cédula de Identidad
Egypt, Arab Rep.;بطاقة تحقيق شخصية (Personal Verification Card)
El Salvador;Número Único de Identidad (NUI) / Documento Único de Identidad (DUI)
Equatorial Guinea;0
Eritrea;National ID Card
Estonia;ID-kaart / National ID Card
Ethiopia;Kebele card
Fiji;-
Finland;FINEID / Identification Card (Henkilökortti / Identitetskort)
France;French National ID Card
Gabon;National ID Card
Gambia, The;National ID Card
Georgia;National ID Card
Germany;Personalausweis (Identity Card)
Ghana;Ghanacard
Greece;Αστυνομική Ταυτότητα / National ID Card
Grenada;Multi-Purpose Identification Card (MPID)
Guatemala;Código Único de Identificación (CUI) / Documento Personal de Identidad (DPI)
Guinea;Carte Nationale d'Identité
Guinea-Bissau;Bilhete de identidade
Guyana;National ID Card
Haiti;CIN / National Identification Card
Honduras;Número Único de Nacimiento (NUN) / Tarjeta de Identidad
Hong Kong SAR, China;Hong Kong Identity Card (HKID) 
Hungary;Személyi Igazolvány / Identity Card
Iceland;Nafnskírteini / National ID Card
India;Aadhaar
Indonesia;Kartu Tanda Penduduk (KTP / e-KTP) / Resident Identity Card
Iran, Islamic Rep.;Kart-e Melli / National ID Card
Iraq;Iraq National Card (البطاقة الوطنية/كارتى نيشتيمانى)
Ireland;-
Israel;Teudat Zehut / Israeli ID Card
Italy;Carta d'identità elettronica (CIE 3.0) (Electronic Identity Card)
Jamaica;NIDS / National Identification System
Japan;My Number Card
Jordan;Personal Card
Kazakhstan;Жеке куәлік (ID Card)
Kenya;National ID Card
Kiribati;
Korea, Dem. People's Rep.;ID Card
Korea, Rep.;Resident Registration Card / Resident Registration Number
Kosovo;National ID Card
Kuwait;Civil ID
Kyrgyz Republic;National ID Card
Lao PDR;National ID Card
Latvia;Personas Apliecība (National ID Card)
Lebanon;National ID Card / بطاقة الهوية
Lesotho;National ID Card
Liberia;National ID card
