city;admin_name;name;ID
BORGARO TORINESE;Piemonte;CRI;1287732721
BORGARO TORINESE;Piemonte;CRI;1287732721
CASTELLAMONTE;Piemonte;Ospedale Civile di Castellamonte;506720441
COLLEGNO;Piemonte;Guardia Medica;3521390394
GIAVENO;Piemonte;Ospedale Civile di Giaveno;1013180642
ORBASSANO;Piemonte;Ospedale San Luigi - Emergency;3538127650
PIANEZZA;Piemonte;IRM;2975475598
POMARETTO;Piemonte;Ospedale di Pomaretto;1582482972
RIVOLI;Piemonte;Ospedale di Rivoli - Emergency;3521386459
TORINO;Piemonte;;3149295783
TORINO;Piemonte;Azienda Asl TO2 Circoscrizione 7;3342035128
TORINO;Piemonte;Ospedale CTO - Emergency;3538149953
TORINO;Piemonte;Ospedale Koelliker;2524447312
TORINO;Piemonte;Ospedale Maria Vittoria - Emergency;3538127633
TORINO;Piemonte;Ospedale Martini - Emergency;3538127618
TORINO;Piemonte;Ospedale Mauriziano - Emergency;3538149967
TORINO;Piemonte;Ospedale Molinette - Emergency;3538127651
TORINO;Piemonte;Ospedale Sant'Anna - Emergency;3538127652
TORINO;Piemonte;Poliambulatorio ASL TO1;3896547668
TORINO;Piemonte;Presidio Ospedaliero Major;3352096005
TORINO;Piemonte;Presidio sanitario ?Vittorio Valletta?;3858667665
TORINO;Piemonte;Pronto soccorso pediatrico;3451061182
TORINO;Piemonte;"RSA """"Cardinal Ballestrero";3858824567
VENARIA REALE;Piemonte;Ospedale Venaria - Emergency;3538322174
VINOVO;Piemonte;Croce Verde;872054634
GATTINARA;Piemonte;Asl Vc;2294634302
VARALLO;Piemonte;Casa Serena;2632598165
VERCELLI;Piemonte;Ambulatorio Veterinario;2943298582
VERCELLI;Piemonte;Ambulatorio Veterinario;2968790196
VERCELLI;Piemonte;Clinica Santa Rita;2872066082
VERCELLI;Piemonte;Guardia Medica;2814119513
VERCELLI;Piemonte;Piastra Polifunzionale;2809752409
VERCELLI;Piemonte;Pronto Soccorso;2800570544
VERCELLI;Piemonte;Studio di fisioterapia clinica Adriano Reis;3035467608
GHEMME;Piemonte;Guardia Medica di Ghemme;2425413775
GHEMME;Piemonte;Ospedale di Ghemme;2425413776
NEBBIUNO;Piemonte;Croce Rossa Italiana - Volontari del Vergante;2844465977
NOVARA;Piemonte;Farmacia dell'Ospedale;2039728477
NOVARA;Piemonte;Pronto Soccorso ASL Novara;3385724639
BORGO SAN DALMAZZO;Piemonte;ASL Cuneo n.1;1445651410
BOVES;Piemonte;Azienda Sanitaria Locale cn1 Centralino;1448031743
BRA;Piemonte;Casa di cura privata Città di BRA;1870099273
BUSCA;Piemonte;Azienda Sanitaria Locale cn1;1446961749
CARAGLIO;Piemonte;Ospedale di Caraglio ASL CN1;1803194882
CHIUSA DI PESIO;Piemonte;Azienda Sanitaria Locale cn1;1448063765
CHIUSA DI PESIO;Piemonte;"Residenza per anziani """"La Meridiana""""";1391573415
DOGLIANI;Piemonte;;2276789081
ENTRACQUE;Piemonte;Centro Socio Assistenziale San Michele;1446273813
FOSSANO;Piemonte;Ospedale Maggiore;1010828999
PEVERAGNO;Piemonte;Azienda Sanitaria Locale cn1 Prenotazioni;1447981808
PEVERAGNO;Piemonte;Croce Rossa Italiana Delegazione di Peveragno;1447984261
ROBILANTE;Piemonte;Istituto Climatico;1512114795
RODELLO;Piemonte;"Casa di cura """"La Residenza""""";3431226791
VILLANOVA MONDOVI';Piemonte;Azienda Sanitaria locale cn1;1447884401
NIZZA MONFERRATO;Piemonte;Ospedale Santo Spirito;1177271563
ACQUI TERME;Piemonte;Casa di cura Villa Igea;3160224386
ALESSANDRIA;Piemonte;Hospice Il Gelso;3456136050
ALESSANDRIA;Piemonte;Pronto Soccorso;3184542612
ALESSANDRIA;Piemonte;SALUS;3461258398
CASALNOCETO;Piemonte;centro paolo VI;916881543
NOVI LIGURE;Piemonte;Ospedale San Giacomo;931802977
BRUSSON;Valle d'Aosta;Casa Di Cura Per La Salute Della Mente;1821113074
BRUSSON;Valle d'Aosta;Continuità Assistenziale (Ex Guardia Medica) AS;1297316345
DONNAS;Valle d'Aosta;Poliambulatorio di Donnas;1761381053
SAINT-CHRISTOPHE;Valle d'Aosta;Servizio Ausili AUSL Valle d'Aosta;2349121564
VALTOURNENCHE;Valle d'Aosta;Centro Traumatologico;3536731833
VERRES;Valle d'Aosta;Clinica Veterinaria di Verres;3740528835
ALBENGA;Liguria;"Santa Maria di Misericordia""""";3022331437
FINALE LIGURE;Liguria;P.A. Croce Verde Finalborgo;2519502535
SAVONA;Liguria;Emergency Room;861803093
SAVONA;Liguria;RSA del Santuario;368280172
ZUCCARELLO;Liguria;Soccorso Cinofilo Liguria - Campo Addestramento;2774569646
ZUCCARELLO;Liguria;Soccorso Cinofilo Liguria - Sede Operativa;2774570245
CAMPO LIGURE;Liguria;Opera Pia San Michele Arcangelo;603938253
CICAGNA;Liguria;Ospedaletto;3092330573
GENOVA;Liguria;Croce Rossa Italiana - Comitato Locale di Genova;2775158723
GENOVA;Liguria;Croce Rossa Italiana - Comitato Locale di Genova;3149433919
GENOVA;Liguria;Hospice Gigi Ghirotti;1427976790
GENOVA;Liguria;Ospedale Pastorino;3784314302
GENOVA;Liguria;Pronto Soccorso;1655214176
GENOVA;Liguria;Pronto Soccorso;2286538221
GENOVA;Liguria;Pronto Soccorso Ostetrico;1149150256
GENOVA;Liguria;Pubblica Assistenza Nerviese;1743778682
BISUSCHIO;Lombardia;Centro Diurno di Bisuschio;3872646923
CITTIGLIO;Lombardia;Ospedale di Cittiglio;872506122
CUNARDO;Lombardia;Le Terrazze;602211592
LUINO;Lombardia;Ospedale Luini Confalonieri;1869897812
SARONNO;Lombardia;LABORATORIO ANALISI MEDICHE GESTIONE LABORATORI;3216127174
SARONNO;Lombardia;Meditel clinica ambulatorio;1907133077
