city;admin_name;name;ID
AGLIE';Piemonte;Agriturismo Cascina La Desiderata;2909468474
AGLIE';Piemonte;La Pulperia - Osteria y Bar de Tapas;2909469529
AGLIE';Piemonte;Trattoria Scudo di Francia;2909469554
ALA DI STURA;Piemonte;Maronero;1760944832
ALA DI STURA;Piemonte;Ristorante Pizzeria Alafishing Tre Ponti;2942035682
ALICE SUPERIORE;Piemonte;Agriturismo Garavot;2931926843
ALICE SUPERIORE;Piemonte;Pizzeria La Torbiera;2931926875
ALICE SUPERIORE;Piemonte;Trattoria El Fornel;2931926890
ALPIGNANO;Piemonte;;3114655071
ALPIGNANO;Piemonte;;3127792670
ALPIGNANO;Piemonte;Il Caminetto;3114631706
ALPIGNANO;Piemonte;La casa di Totò;3040781483
ALPIGNANO;Piemonte;Lo Sfizietto;3090674241
ALPIGNANO;Piemonte;Ristorante Pizzeria Farenheit 451;3123653206
ANDEZENO;Piemonte;;1739790640
ANDRATE;Piemonte;Bar Trattoria Locanda La Genzianella;3997423770
ANGROGNA;Piemonte;Agriturismo Monte Servin;2670678314
ANGROGNA;Piemonte;Pomo d'Oro;1889742897
ANGROGNA;Piemonte;trattoria Sonagliette;2670678316
AVIGLIANA;Piemonte;;1857270804
AVIGLIANA;Piemonte;Antica Cappella;770567528
AVIGLIANA;Piemonte;Caccia Reale;1893942268
AVIGLIANA;Piemonte;Chalet del Lago;783324280
AVIGLIANA;Piemonte;Corona Grossa;3389996902
AVIGLIANA;Piemonte;Pizzeria Conte Rosso;1893942269
AVIGLIANA;Piemonte;Ristorante San Michele;1893942270
AZEGLIO;Piemonte;Ristorante Pizzeria La Luna;2842664257
BAIRO;Piemonte;;2947384413
BALME;Piemonte;Agriturismo La Masinà - Progetto Agriable;3774731245
BALME;Piemonte;Trattoria Val Servin;1895083081
BANCHETTE;Piemonte;Asia;2275928564
BANCHETTE;Piemonte;Trattoria Moderna - Il Simposio;1876542098
BARDONECCHIA;Piemonte;;683628025
BARDONECCHIA;Piemonte;;631911428
BARDONECCHIA;Piemonte;;3199735486
BARDONECCHIA;Piemonte;Bardosteria;3700735135
BARDONECCHIA;Piemonte;Bar-Ristorante Bellevue;1156283371
BARDONECCHIA;Piemonte;Cuisine Royal;3700735129
BARDONECCHIA;Piemonte;Lo Chalet;700403807
BARDONECCHIA;Piemonte;Someiller 1884;3347618926
BARDONECCHIA;Piemonte;Sotto Sopra;3700735137
BARDONECCHIA;Piemonte;Taverna del Dahu;3700735144
BARONE CANAVESE;Piemonte;Al Girasol;1515827367
BEINASCO;Piemonte;;1156165666
BEINASCO;Piemonte;Cico;1139958915
BEINASCO;Piemonte;Da Frasi;3370158201
BEINASCO;Piemonte;La Casita;776677104
BEINASCO;Piemonte;L'angolo partenopeo;1611678047
BEINASCO;Piemonte;La Terrazza di Tommasiello;1611678051
BEINASCO;Piemonte;Osteria 111;1709994431
BIBIANA;Piemonte;Cooperativa Agricola Il Frutto Permesso;1013246642
BIBIANA;Piemonte;Osteria San Bernardo;2164159112
BOLLENGO;Piemonte;Lago Blu;1583322875
BOLLENGO;Piemonte;Ristorante Il Vecchio Mulino;1315244638
BORGARO TORINESE;Piemonte;;1908194332
BORGARO TORINESE;Piemonte;;1908194332
BORGARO TORINESE;Piemonte;;1908194342
BORGARO TORINESE;Piemonte;;1908194342
BORGARO TORINESE;Piemonte;;1908206786
BORGARO TORINESE;Piemonte;;1908206786
BORGARO TORINESE;Piemonte;;1908249911
BORGARO TORINESE;Piemonte;;1908249911
BOSCONERO;Piemonte;;2035094764
BRICHERASIO;Piemonte;Il Pirata;3404316789
BRICHERASIO;Piemonte;Locanda Brich e Bass;2493093139
BRICHERASIO;Piemonte;Sakura Sushi Restaurant;3917348242
BRICHERASIO;Piemonte;Vecchio Forno;3411605403
BROSSO;Piemonte;Bar Ristorante La Piazzetta;2928553549
