city;admin_name;name;ID
CAMBIANO;Piemonte;Teatro Comunale;563313694
CASELLE TORINESE;Piemonte;Tensostruttura Beato Giovanni Paolo II;1145909839
CASELLE TORINESE;Piemonte;Tensostruttura Beato Giovanni Paolo II;1145909839
CERES;Piemonte;Gruppo Musicale;1760846493
CHIAVERANO;Piemonte;Teatro Bertagnoglio;2189533333
ORBASSANO;Piemonte;Teatro Sandro Pertini;920720793
PINEROLO;Piemonte;Teatro Sociale;2930838804
POIRINO;Piemonte;;2361612714
RIVAROLO CANAVESE;Piemonte;Sala Lux;2010241222
SAN GIORGIO CANAVESE;Piemonte;Sala Teatro Don Dante Ruffa;2942678068
TORINO;Piemonte;Alfa Teatro;1181457290
TORINO;Piemonte;Alfieri;2590338876
TORINO;Piemonte;Cine Teatro Baretti;2455133839
TORINO;Piemonte;Teatro Carignano;617849850
TORINO;Piemonte;Teatro Colosseo;596529626
TORINO;Piemonte;Teatro della Caduta;3352056176
TORINO;Piemonte;Teatro Erba;3079692473
TORINO;Piemonte;Teatro Giulia di Barolo;3352061372
TORINO;Piemonte;Teatro Gobetti;2018087953
TORINO;Piemonte;Teatro Monterosa;3361994106
TORINO;Piemonte;Teatro Tangram;3828183486
VILLASTELLONE;Piemonte;Auditorium;3442915057
FONTANETTO PO;Piemonte;Auditorium Giovan Battista Viotti;1277563108
RIVA VALDOBBIA;Piemonte;Società di Mutuo Soccorso e Beneficenza;2134876866
TRINO;Piemonte;Teatro Civico;1988783773
VARALLO;Piemonte;Teatro Civico;2627228403
VERCELLI;Piemonte;Teatro Barbieri;3111329739
OLEGGIO;Piemonte;;617636768
TRECATE;Piemonte;Teatro Silvio Pellico;2975558832
BERGOLO;Piemonte;Amphiteatro;2422522789
LAGNASCO;Piemonte;;1482170191
NARZOLE;Piemonte;Teatro;3198400474
RODELLO;Piemonte;Teatro dei Battuti;3431257655
VILLANOVA MONDOVI';Piemonte;Teatro F. Garelli;1516384862
FONTANILE;Piemonte;Centro culturale San Giuseppe;2433637048
