city;admin_name;name;ID
Aglie';Piemonte;Agriturismo Cascina La Desiderata;2909468474
Aglie';Piemonte;La Pulperia - Osteria y Bar de Tapas;2909469529
Aglie';Piemonte;Trattoria Scudo di Francia;2909469554
Ala Di Stura;Piemonte;Maronero;1760944832
Ala Di Stura;Piemonte;Ristorante Pizzeria Alafishing Tre Ponti;2942035682
Alice Superiore;Piemonte;Agriturismo Garavot;2931926843
Alice Superiore;Piemonte;Pizzeria La Torbiera;2931926875
Alice Superiore;Piemonte;Trattoria El Fornel;2931926890
Alpignano;Piemonte;Il Caminetto;3114631706
Alpignano;Piemonte;La casa di Totò;3040781483
Alpignano;Piemonte;Lo Sfizietto;3090674241
Alpignano;Piemonte;Ristorante Pizzeria Farenheit 451;3123653206
Andrate;Piemonte;Bar Trattoria Locanda La Genzianella;3997423770
Angrogna;Piemonte;Agriturismo Monte Servin;2670678314
Angrogna;Piemonte;Pomo d'Oro;1889742897
Angrogna;Piemonte;trattoria Sonagliette;2670678316
Avigliana;Piemonte;Antica Cappella;770567528
Avigliana;Piemonte;Caccia Reale;1893942268
Avigliana;Piemonte;Chalet del Lago;783324280
Avigliana;Piemonte;Corona Grossa;3389996902
Avigliana;Piemonte;Pizzeria Conte Rosso;1893942269
Avigliana;Piemonte;Ristorante San Michele;1893942270
Azeglio;Piemonte;Ristorante Pizzeria La Luna;2842664257
Balme;Piemonte;Agriturismo La Masinà - Progetto Agriable;3774731245
Balme;Piemonte;Trattoria Val Servin;1895083081
Banchette;Piemonte;Asia;2275928564
Banchette;Piemonte;Trattoria Moderna - Il Simposio;1876542098
Bardonecchia;Piemonte;Bardosteria;3700735135
Bardonecchia;Piemonte;Bar-Ristorante Bellevue;1156283371
Bardonecchia;Piemonte;Cuisine Royal;3700735129
Bardonecchia;Piemonte;Lo Chalet;700403807
Bardonecchia;Piemonte;Someiller 1884;3347618926
Bardonecchia;Piemonte;Sotto Sopra;3700735137
Bardonecchia;Piemonte;Taverna del Dahu;3700735144
Barone Canavese;Piemonte;Al Girasol;1515827367
Beinasco;Piemonte;Cico;1139958915
Beinasco;Piemonte;Da Frasi;3370158201
Beinasco;Piemonte;La Casita;776677104
Beinasco;Piemonte;L'angolo partenopeo;1611678047
Beinasco;Piemonte;La Terrazza di Tommasiello;1611678051
Beinasco;Piemonte;Osteria 111;1709994431
Bibiana;Piemonte;Cooperativa Agricola Il Frutto Permesso;1013246642
Bibiana;Piemonte;Osteria San Bernardo;2164159112
Bollengo;Piemonte;Lago Blu;1583322875
Bollengo;Piemonte;Ristorante Il Vecchio Mulino;1315244638
Bricherasio;Piemonte;Il Pirata;3404316789
Bricherasio;Piemonte;Locanda Brich e Bass;2493093139
Bricherasio;Piemonte;Sakura Sushi Restaurant;3917348242
Bricherasio;Piemonte;Vecchio Forno;3411605403
Brosso;Piemonte;Bar Ristorante La Piazzetta;2928553549
Brosso;Piemonte;Pizzeria The Black Scorpion;2928553578
Burolo;Piemonte;ncf;2707308817
Bussoleno;Piemonte;Zia Rosa;2431060354
Buttigliera Alta;Piemonte;La Primavera;1830315865
Buttigliera Alta;Piemonte;Margarita's;1830315894
Buttigliera Alta;Piemonte;Rosa dei Venti;2506818338
Buttigliera Alta;Piemonte;Trattoria Venere;1473178510
Caluso;Piemonte;Gardenia;2630202868
Cambiano;Piemonte;D&D Pizzeria;3707985234
Cantoira;Piemonte;Albergo del Centro;1757248298
Cantoira;Piemonte;Gelateria;1763138911
Cantoira;Piemonte;Nuovo Look;1757248000
Cantoira;Piemonte;Osteria degli Amici;1757248385
Cantoira;Piemonte;Ristorante Cantoira;1763139729
Caravino;Piemonte;Bar ristorante Masino;295022831
Carema;Piemonte;Pizzeria Il Dollaro;1632928505
Carema;Piemonte;Ristorante La Maiola;1996750430
Carema;Piemonte;Trattoria Del Ramo Verde;1632852580
