city;admin_name;name;ID
Cambiano;Piemonte;Teatro Comunale;563313694
Caselle Torinese;Piemonte;Tensostruttura Beato Giovanni Paolo II;1145909839
Caselle Torinese;Piemonte;Tensostruttura Beato Giovanni Paolo II;1145909839
Ceres;Piemonte;Gruppo Musicale;1760846493
Chiaverano;Piemonte;Teatro Bertagnoglio;2189533333
Orbassano;Piemonte;Teatro Sandro Pertini;920720793
Pinerolo;Piemonte;Teatro Sociale;2930838804
Rivarolo Canavese;Piemonte;Sala Lux;2010241222
San Giorgio Canavese;Piemonte;Sala Teatro Don Dante Ruffa;2942678068
Torino;Piemonte;Alfa Teatro;1181457290
Torino;Piemonte;Alfieri;2590338876
Torino;Piemonte;Cine Teatro Baretti;2455133839
Torino;Piemonte;Teatro Carignano;617849850
Torino;Piemonte;Teatro Colosseo;596529626
Torino;Piemonte;Teatro della Caduta;3352056176
Torino;Piemonte;Teatro Erba;3079692473
Torino;Piemonte;Teatro Giulia di Barolo;3352061372
Torino;Piemonte;Teatro Gobetti;2018087953
Torino;Piemonte;Teatro Monterosa;3361994106
Torino;Piemonte;Teatro Tangram;3828183486
Villastellone;Piemonte;Auditorium;3442915057
Fontanetto Po;Piemonte;Auditorium Giovan Battista Viotti;1277563108
Riva Valdobbia;Piemonte;Società di Mutuo Soccorso e Beneficenza;2134876866
Trino;Piemonte;Teatro Civico;1988783773
Varallo;Piemonte;Teatro Civico;2627228403
Vercelli;Piemonte;Teatro Barbieri;3111329739
Trecate;Piemonte;Teatro Silvio Pellico;2975558832
Bergolo;Piemonte;Amphiteatro;2422522789
Narzole;Piemonte;Teatro;3198400474
Rodello;Piemonte;Teatro dei Battuti;3431257655
Villanova Mondovi';Piemonte;Teatro F. Garelli;1516384862
Fontanile;Piemonte;Centro culturale San Giuseppe;2433637048
Moncalvo;Piemonte;Teatro Civico;3292691662
Alessandria;Piemonte;Ambra;1858739408
Alessandria;Piemonte;teatro comunale;1333685550
Alessandria;Piemonte;Teatro Parvum;3456137095
Pontecurone;Piemonte;S.O.A.M.S.;2570239953
