city,admin_name,name,ID,address
Aglie',Piemonte,Al Castello,2909468475,Piazza Setificio 59
Aglie',Piemonte,Bar Nazionale,2909468491,Piazza Umberto I 15
Aglie',Piemonte,Hollywood Cafè,2909469525,Via Principe Amedeo 70
Airasca,Piemonte,Bar Marghera,2800540499,Via Roma 102
Alice Superiore,Piemonte,Bar del Campo,2931926850,Regione Canapre Superiore 4
Alice Superiore,Piemonte,Bar Lo Scoiattolo,2931926847,Cavalice SP64
Alice Superiore,Piemonte,Bar Ristoro Il Pontile,2931926849,Via Provinciale per Lessolo 27/A
Alpignano,Piemonte,Canton DiVino,3040790945,Fidenza 92
Alpignano,Piemonte,Ferehneit 451,3123653205,Via Camillo Benso Conte di Cavour 60
Alpignano,Piemonte,Lattolandia,3039643793,Via Druento 15
Alpignano,Piemonte,Roxy Bar,3135060091,Via Val della Torre 98
Avigliana,Piemonte,Caffetteria del Vecchio Borgo,3389996903,Piazza Conte Rosso 151
Avigliana,Piemonte,Giada,3371509973,Via San Pietro 63
Avigliana,Piemonte,La Maison Du Chocolat,3728056058,Via Moncenisio 89
Avigliana,Piemonte,La Martinika,3371509981,Corso Torino 48
Bairo,Piemonte,HospesCafè,2947383542,Piazza della Chiesa 177
Balme,Piemonte,Bar Centrale,1895115387,Via Capoluogo 98
Bardonecchia,Piemonte,Al Crotin,3700735140,Via Giuseppe Francesco Medail 39
Bardonecchia,Piemonte,Caffè Torino,3700735130,Via Giuseppe Francesco Medail 34
Beinasco,Piemonte,Borgaretto,461657374,Beinasco 72
Beinasco,Piemonte,caffè dei portici,3088993871,Piazza J.F. Kennedy 71
Beinasco,Piemonte,Caffè Pasticceria Clemy,1190855673,Viale Papa Giovanni Ventitreesimo 191
Beinasco,Piemonte,Ke'Bar,1426858004,Strada Orbassano 178
Beinasco,Piemonte,La Felce,3088995633,Piazza J.F. Kennedy 22
Bobbio Pellice,Piemonte,Bar della Fontana,2409719633,Via Maestra 72
Borgiallo,Piemonte,La piola,3791341969,Via Pietro Bertolero 66
Borgone Susa,Piemonte,Bar Gelateria Penna,3364499800,Via Augusto Abegg 1a
Borgone Susa,Piemonte,Bar Italia,3648728580,Piazza Montabone 41
Borgone Susa,Piemonte,Bar Roxy,3376599194,Via Augusto Abegg 15
Borgone Susa,Piemonte,Lumière Cafè,3376595695,Via Augusto Abegg 32
Bosconero,Piemonte,Bar Della Mora,2035094763,Via Costantino Nigra 158
Bricherasio,Piemonte,0115 Zerounounocinque Ristobar,2116417811,Stradale Torre Pellice 15
Bricherasio,Piemonte,Angelo Blu,2055729976,Via Vittorio Emanuele II 83C
Bricherasio,Piemonte,Antico Portico,2593101716,Via Vittorio Emanuele II 33
Bricherasio,Piemonte,Breakafe Ristobar,3989595098,Stradale Pinerolo 87
Bricherasio,Piemonte,Caffè del Centro,3258312323,Via Vittorio Emanuele II 70
Bricherasio,Piemonte,Caffè del Ponte,2178286295,Stradale Pinerolo 38e
Bricherasio,Piemonte,Floridee,2425957439,Cepagatti 96
Bricherasio,Piemonte,Nuovo Bar Europa,2029047935,Piazza Santa Maria 20
Burolo,Piemonte,Barcollo,2368263968,Strada Statale 228 del Lago di Viverone 153
Buttigliera Alta,Piemonte,Crystal,3891530750,Corso Torino 164
Buttigliera Alta,Piemonte,Rosa dei Venti,2506818339,Corso Torino 19
Caravino,Piemonte,Ristoro del castello,295022833,Via del Castello 40
Carema,Piemonte,Caffé Gelato Con Cucina Fantasy,1632822362,Via Torino 1
Carema,Piemonte,Oasi,2025503392,Via Torino 89
Carignano,Piemonte,Baraonda Cafè,3995276957,Piazza Carlo Alberto 6A
Carignano,Piemonte,Bar della Piazzetta,3995214211,Piazza Liberazione 2
Carignano,Piemonte,Bar delle Chiacchere,3995276960,Via Trento 11
Carignano,Piemonte,Bar I Portic,3995276958,Via Vittorio Veneto 3
Carignano,Piemonte,Bar Sport,3995276961,Piazza Carlo Alberto 53
Carignano,Piemonte,Brussino,3996476428,Piazza Carlo Alberto 65
Carignano,Piemonte,Piccolo Bar,3995403917,Piazza Carlo Alberto 35
Carmagnola,Piemonte,Bar Italia,3884860327,Viale Giuseppe Garibaldi 152
Castellamonte,Piemonte,La Cambusa,1201924334,Strada Torino 120
Cercenasco,Piemonte,Bar Gelateria dell'Angolo,3457700263,Via Venti Settembre 155
Ceres,Piemonte,Bar Europa,1756200712,Piazza Europa 32
Ceres,Piemonte,Caffé Stazione - Tabacchi,1760617379,Via Lanzo 13
Ceres,Piemonte,Chry's Bar,1756205821,Piazza del Municipio 14
Ceres,Piemonte,La Piòla d'In Bòt,1760817265,Frazione Procaria 74
Cesana Torinese,Piemonte,Bar Canalino,627039524,Strada comunale di Sagna Longa 135
Chialamberto,Piemonte,BAR ALPINO,3773273557,Via Roma 96
