city,admin_name,name,ID,address
Aglie',Piemonte,Agriturismo Cascina La Desiderata,2909468474,Strada per Feletto 2
Aglie',Piemonte,La Pulperia - Osteria y Bar de Tapas,2909469529,Corso Camillo Benso Conte di Cavour 16
Aglie',Piemonte,Trattoria Scudo di Francia,2909469554,Via Principe Amedeo 30
Ala Di Stura,Piemonte,Maronero,1760944832,Piazza Centrale 12
Ala Di Stura,Piemonte,Ristorante Pizzeria Alafishing Tre Ponti,2942035682,Ivrea 79
Alice Superiore,Piemonte,Agriturismo Garavot,2931926843,Malalbergo 159
Alice Superiore,Piemonte,Pizzeria La Torbiera,2931926875,Regione Torbiera 32
Alice Superiore,Piemonte,Trattoria El Fornel,2931926890,Teggiano 42
Alpignano,Piemonte,Il Caminetto,3114631706,Via Val della Torre 39
Alpignano,Piemonte,La casa di Totò,3040781483,Via Giuseppe Mazzini 146
Alpignano,Piemonte,Lo Sfizietto,3090674241,Monte San Vito 46
Alpignano,Piemonte,Ristorante Pizzeria Farenheit 451,3123653206,Via Camillo Benso Conte di Cavour 198
Andrate,Piemonte,Bar Trattoria Locanda La Genzianella,3997423770,Regione San Giacomo 2
Angrogna,Piemonte,Agriturismo Monte Servin,2670678314,Sentiero dei Partigiani 166
Angrogna,Piemonte,Pomo d'Oro,1889742897,Raggio SP163
Angrogna,Piemonte,trattoria Sonagliette,2670678316,Strada vicinale del Castelluzzo 174
Avigliana,Piemonte,Antica Cappella,770567528,Via Lino Maritano 76
Avigliana,Piemonte,Caccia Reale,1893942268,Villa Castelli 84
Avigliana,Piemonte,Chalet del Lago,783324280,Via Monginevro 106
Avigliana,Piemonte,Corona Grossa,3389996902,Via Mario Tommasella 127
Avigliana,Piemonte,Pizzeria Conte Rosso,1893942269,Piazza Conte Rosso 31
Avigliana,Piemonte,Ristorante San Michele,1893942270,Via Umberto I 33
Azeglio,Piemonte,Ristorante Pizzeria La Luna,2842664257,Via Guglielmo Marconi 29
Balme,Piemonte,Agriturismo La Masinà - Progetto Agriable,3774731245,Casoria 41
Balme,Piemonte,Trattoria Val Servin,1895083081,Frazione Cornetti 76
Banchette,Piemonte,Asia,2275928564,Via Samone 15
Banchette,Piemonte,Trattoria Moderna - Il Simposio,1876542098,Via Circonvallazione 4/F
Bardonecchia,Piemonte,Bardosteria,3700735135,Via Giuseppe Francesco Medail 33
Bardonecchia,Piemonte,Bar-Ristorante Bellevue,1156283371,Autostrada del Frejus 194
Bardonecchia,Piemonte,Cuisine Royal,3700735129,Via Giuseppe Francesco Medail 119
Bardonecchia,Piemonte,Lo Chalet,700403807,Autostrada del Frejus 20
Bardonecchia,Piemonte,Someiller 1884,3347618926,Via Germano Sommeiller 3
Bardonecchia,Piemonte,Sotto Sopra,3700735137,Via Giuseppe Francesco Medail 56
Bardonecchia,Piemonte,Taverna del Dahu,3700735144,Via Giuseppe Francesco Medail 82
Barone Canavese,Piemonte,Al Girasol,1515827367,Via Roma 8
Beinasco,Piemonte,Cico,1139958915,Via Ortigara 197
Beinasco,Piemonte,Da Frasi,3370158201,Via San Giacomo 25
Beinasco,Piemonte,La Casita,776677104,Via Gorizia 114
Beinasco,Piemonte,L'angolo partenopeo,1611678047,Strada Torino 99
Beinasco,Piemonte,La Terrazza di Tommasiello,1611678051,Strada Torino 199
Beinasco,Piemonte,Osteria 111,1709994431,Via Galileo Galilei 79
Bibiana,Piemonte,Cooperativa Agricola Il Frutto Permesso,1013246642,Via del Vernè 49
Bibiana,Piemonte,Osteria San Bernardo,2164159112,Via San Bernardo 116
Bollengo,Piemonte,Lago Blu,1583322875,Via Allaas 169
Bollengo,Piemonte,Ristorante Il Vecchio Mulino,1315244638,Via Statale 27
Bricherasio,Piemonte,Il Pirata,3404316789,Strada Camborgetti Ballada 170
Bricherasio,Piemonte,Locanda Brich e Bass,2493093139,Strada Caffaro 155
Bricherasio,Piemonte,Sakura Sushi Restaurant,3917348242,Valmontone 114
Bricherasio,Piemonte,Vecchio Forno,3411605403,Stradale Torre Pellice 109
Brosso,Piemonte,Bar Ristorante La Piazzetta,2928553549,Piazza Repubblica 3
Brosso,Piemonte,Pizzeria The Black Scorpion,2928553578,Leno 141
Burolo,Piemonte,ncf,2707308817,Via Friuli 2
Bussoleno,Piemonte,Zia Rosa,2431060354,Via dell'Orrido 52/A
Buttigliera Alta,Piemonte,La Primavera,1830315865,Corso Torino 124
Buttigliera Alta,Piemonte,Margarita's,1830315894,Corso Torino 197
Buttigliera Alta,Piemonte,Rosa dei Venti,2506818338,Corso Torino 11
Buttigliera Alta,Piemonte,Trattoria Venere,1473178510,Strada Antica di Francia 190
Caluso,Piemonte,Gardenia,2630202868,Corso Torino 40
Cambiano,Piemonte,D&D Pizzeria,3707985234,Corso Onorio Lisa 36
Cantoira,Piemonte,Albergo del Centro,1757248298,Via Roma 103
Cantoira,Piemonte,Gelateria,1763138911,Via Roma 74
Cantoira,Piemonte,Nuovo Look,1757248000,Via Roma 189
Cantoira,Piemonte,Osteria degli Amici,1757248385,Via Roma 32
Cantoira,Piemonte,Ristorante Cantoira,1763139729,Via Roma 61
Caravino,Piemonte,Bar ristorante Masino,295022831,Masino SP264
Carema,Piemonte,Pizzeria Il Dollaro,1632928505,Via Basilia 111
Carema,Piemonte,Ristorante La Maiola,1996750430,Via Nazionale 87
Carema,Piemonte,Trattoria Del Ramo Verde,1632852580,Via Torino 42
Carignano,Piemonte,Agriturismo cascina gai,4006028847,Regione Ponte Po 22
Carignano,Piemonte,Il Tempio del Pane,3996476455,Corso Cesare Battisti 26
Carignano,Piemonte,Pizzeria el tigre,3995403916,Via Silvio Pellico 37
Carmagnola,Piemonte,Agriturismo Antico Casale - Progetto Agriable,3320889372,Via Tetti Ratti 10
Carmagnola,Piemonte,Agriturismo basso dei sola,4005998809,Carmagnola 161
Carmagnola,Piemonte,Agriturismo la cassin-a ed b,4005788857,Aviano 26
Carmagnola,Piemonte,Antichi Sapori,2510526658,Via Poirino 448
Carmagnola,Piemonte,Fattoria Didattica,4006016166,Via Palazzotto 7
Carmagnola,Piemonte,Pizzeria Due Mori,3852465013,Via Giuseppe Chiffi 18
Caselle Torinese,Piemonte,antica zecca,1154680624,Via della Zecca 98
Castellamonte,Piemonte,Bar Ristoro da Gelsomina,3041109576,Via Preparetto 150
Castellamonte,Piemonte,Bar Trattoria San Giovanni,2885602415,Via Centrale 53
Castellamonte,Piemonte,Caly,1201924361,Strada Torino 185
Castellamonte,Piemonte,la terrazza sul canavese,3800990575,Muriaglio SP265
Castiglione Torinese,Piemonte,Aprà,3677761231,Strada Rubattera 187
Cavour,Piemonte,Il cartoccio 2,2225727266,Via Pinerolo 10
Cercenasco,Piemonte,Ristorante Cavallo Rosso,3457700269,Via Venti Settembre 14
Cercenasco,Piemonte,Ristorante Centro,3457700270,Via Vittorio Emanuele Secondo 179
Ceres,Piemonte,Albergo Ceres S.n.c.,1756200773,Via Ala 1
Ceres,Piemonte,Ristoro dei Passeggeri,1760712498,Via Ala 19
Ceres,Piemonte,Valli di Lanzo,1756200144,Via Roma 11
Cesana Torinese,Piemonte,Boeuf Soleil,1165862598,Sentiero Gelindo Bordin 92
Cesana Torinese,Piemonte,Col Sorel,627038952,Percorso degli alberi secolari 125
Cesana Torinese,Piemonte,La Baita,627039249,Percorso degli alberi secolari 67
