Country;Population;Med. Age
China;1440297825;38
India;1382345085;28
United States;331341050;38
Indonesia;274021604;30
Pakistan;221612785;23
Brazil;212821986;33
Nigeria;206984347;18
Bangladesh;164972348;28
Russia;145945524;40
Mexico;129166028;29
Japan;126407422;48
Ethiopia;115434444;19
Philippines;109830324;26
Egypt;102659126;25
Vietnam;97490013;32
DR Congo;90003954;17
Turkey;84495243;32
Iran;84176929;32
Germany;83830972;46
Thailand;69830779;40
United Kingdom;67948282;40
France;65298930;42
Italy;60446035;47
Tanzania;60012400;18
South Africa;59436725;28
Myanmar;54473253;29
Kenya;53968739;20
South Korea;51276977;44
Colombia;50976248;31
Spain;46757980;45
Uganda;45974931;17
Argentina;45267449;32
Algeria;43984569;29
Sudan;44019263;20
Ukraine;43686577;41
Iraq;40372771;21
Afghanistan;39074280;18
Poland;37839255;42
Canada;37799407;41
Morocco;36985624;30
Saudi Arabia;34905942;32
Uzbekistan;33551824;28
Peru;33050211;31
Angola;33032075;17
Malaysia;32436963;30
Mozambique;31398811;18
Ghana;31181428;22
Yemen;29935468;20
Nepal;29225196;25
Venezuela;28421581;30
Madagascar;27808395;20
Cameroon;26655083;19
Côte d'Ivoire;26486282;19
North Korea;25798588;35
Australia;25550683;38
Niger;24346468;15
Taiwan;23824369;42
Sri Lanka;21428970;34
Burkina Faso;20997293;18
Mali;20346106;16
Romania;19214608;43
Malawi;19211425;18
Chile;19144605;35
Kazakhstan;18815231;31
Zambia;18468257;18
Guatemala;17971382;23
Ecuador;17688599;28
Syria;17571053;26
Netherlands;17141544;43
Senegal;16816539;19
Cambodia;16758448;26
Chad;16502877;17
Somalia;15965848;17
Zimbabwe;14899771;19
Guinea;13191279;18
Rwanda;13005303;20
Benin;12175480;19
Burundi;11948454;17
Tunisia;11839918;33
Bolivia;11700207;26
Belgium;11598451;42
Haiti;11426356;24
Cuba;11325391;42
South Sudan;11216250;19
Dominican Republic;10866667;28
Czech Republic (Czechia);10712481;43
