city,admin_name,name,ID,address
Cambiano,Piemonte,Teatro Comunale,563313694,Piazza Innovazione 1
Caselle Torinese,Piemonte,Tensostruttura Beato Giovanni Paolo II,1145909839,Chiampo 47
Ceres,Piemonte,Gruppo Musicale,1760846493,Via Cantoira 169
Chiaverano,Piemonte,Teatro Bertagnoglio,2189533333,Riesi 22
Orbassano,Piemonte,Teatro Sandro Pertini,920720793,Via dei Molini 1
Pinerolo,Piemonte,Teatro Sociale,2930838804,Piazza Vittorio Veneto 16
Rivarolo Canavese,Piemonte,Sala Lux,2010241222,Via Trieste 179
San Giorgio Canavese,Piemonte,Sala Teatro Don Dante Ruffa,2942678068,Via Carlo Botta 134
Torino,Piemonte,Alfa Teatro,1181457290,Via Casalborgone 33
Torino,Piemonte,Alfieri,2590338876,Via Battista Pininfarina 76
Torino,Piemonte,Cine Teatro Baretti,2455133839,Via Giuseppe Baretti 4
Torino,Piemonte,Teatro Carignano,617849850,Piazza Carignano 6
Torino,Piemonte,Teatro Colosseo,596529626,Via Madama Cristina 71
Torino,Piemonte,Teatro della Caduta,3352056176,Via Michele Buniva 24
Torino,Piemonte,Teatro Erba,3079692473,Corso Moncalieri 241
Torino,Piemonte,Teatro Giulia di Barolo,3352061372,2bis/B 26
Torino,Piemonte,Teatro Gobetti,2018087953,Via Gioachino Rossini 153
Torino,Piemonte,Teatro Monterosa,3361994106,Via Brandizzo 198
Torino,Piemonte,Teatro Tangram,3828183486,Via Don Luigi Orione 5/C
Villastellone,Piemonte,Auditorium,3442915057,Torino 48
Fontanetto Po,Piemonte,Auditorium Giovan Battista Viotti,1277563108,Corso Massimo Montano 161
Riva Valdobbia,Piemonte,Società di Mutuo Soccorso e Beneficenza,2134876866,Via degli Alpini 155
Trino,Piemonte,Teatro Civico,1988783773,Piazza Martiri dei Lager 62
Varallo,Piemonte,Teatro Civico,2627228403,Piazza Vittorio Emanuele 38
Vercelli,Piemonte,Teatro Barbieri,3111329739,Via Vittorio Alfieri 3A-3B
Trecate,Piemonte,Teatro Silvio Pellico,2975558832,Piazza Riccardo Cattaneo 177
Bergolo,Piemonte,Amphiteatro,2422522789,Via Roma 67
Narzole,Piemonte,Teatro,3198400474,Via Umberto I 32
Rodello,Piemonte,Teatro dei Battuti,3431257655,Via Caduti 183
Villanova Mondovi',Piemonte,Teatro F. Garelli,1516384862,Via del Teatro 148
Fontanile,Piemonte,Centro culturale San Giuseppe,2433637048,Via Marconi 154
Moncalvo,Piemonte,Teatro Civico,3292691662,Piazza Garibaldi 28
Alessandria,Piemonte,Ambra,1858739408,Lussello 75
Alessandria,Piemonte,teatro comunale,1333685550,Vicolo Falzetta 6
Alessandria,Piemonte,Teatro Parvum,3456137095,Via Giuseppe Mazzini 85
Pontecurone,Piemonte,S.O.A.M.S.,2570239953,Via Roma 175
Silvano D'Orba,Piemonte,Teatro Comunale SOMS,1680908886,Via Roma 165
Valenza,Piemonte,Cineteatro Sociale,1639017566,Gradisca d’Isonzo 165
